"join_field","model_code","ref_label","ref_percent","bps_name","state_class_id","age_category","canopy_category","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13441_51_Agriculture","13441_51","Agriculture",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,8157,986459,219383,0,1814,1
"13441_51_Urban","13441_51","Urban",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,124119,986459,219383,0,27603,13
"13441_51_Water","13441_51","Water",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,NA,986459,219383,0,NA,NA
"13441_51_UN","13441_51","UN",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,19691,986459,219383,0,4379,2
"13441_51_UE","13441_51","UE",0,"Boreal Jack Pine-Black Spruce Forest - Pine Barrens",NA,NA,NA,116000,986459,219383,0,25798,12
"13442_51_A","13442_51","A",31,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir","Early1:ALL","Early1","ALL",29,110305,24531,7605,6,0
"13442_51_B","13442_51","B",34,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir","Mid1:CLS","Mid1","CLS",3895,110305,24531,8341,866,4
"13442_51_C","13442_51","C",25,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir","Mid2:CLS","Mid2","CLS",38929,110305,24531,6133,8658,35
"13442_51_D","13442_51","D",10,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir","Late1:CLS","Late1","CLS",NA,110305,24531,2453,NA,NA
"13442_51_E","13442_51","E",NA,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,NA,110305,24531,NA,NA,NA
"13442_51_Agriculture","13442_51","Agriculture",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,933,110305,24531,0,207,1
"13442_51_Urban","13442_51","Urban",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,10226,110305,24531,0,2274,9
"13442_51_Water","13442_51","Water",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,NA,110305,24531,0,NA,NA
"13442_51_UN","13442_51","UN",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,48656,110305,24531,0,10821,44
"13442_51_UE","13442_51","UE",0,"Boreal Jack Pine-Black Spruce Forest - Spruce-Fir",NA,NA,NA,7637,110305,24531,0,1698,7
"13620_51_63_64_65_66_A","13620_51_63_64_65_66","A",13,"Laurentian-Acadian Northern Pine(-Oak) Forest","Early1:ALL","Early1","ALL",4520,698331,155305,20190,1005,1
"13620_51_63_64_65_66_B","13620_51_63_64_65_66","B",13,"Laurentian-Acadian Northern Pine(-Oak) Forest","Mid1:CLS","Mid1","CLS",423436,698331,155305,20190,94170,61
