"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","bps_model","bps_name","label","cur_scls_count","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13442_51_D","13442_51","D",10,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13442_51_E","13442_51","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13442_51_Agriculture","13442_51","Agriculture",0,NA,NA,NA,NA,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","Agriculture",933,109876,24436,0,207,1
"13442_51_Urban","13442_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13442_51_Water","13442_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13442_51_UN","13442_51","UN",0,NA,NA,NA,NA,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","UN",48546,109876,24436,0,10796,44
"13442_51_UE","13442_51","UE",0,NA,NA,NA,NA,"13442_51","Boreal Jack Pine-Black Spruce Forest-Spruce-Fir","UE",7634,109876,24436,0,1698,7
"13620_51_63_64_65_66_A","13620_51_63_64_65_66","A",13,"A","Early1:ALL","Early1","ALL","13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","A",4511,697985,155228,20180,1003,1
"13620_51_63_64_65_66_B","13620_51_63_64_65_66","B",13,"B","Mid1:CLS","Mid1","CLS","13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","B",423313,697985,155228,20180,94142,61
"13620_51_63_64_65_66_C","13620_51_63_64_65_66","C",48,"C","Mid2:OPN","Mid2","OPN","13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","C",77238,697985,155228,74509,17177,11
"13620_51_63_64_65_66_D","13620_51_63_64_65_66","D",26,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13620_51_63_64_65_66_E","13620_51_63_64_65_66","E",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA
"13620_51_63_64_65_66_Agriculture","13620_51_63_64_65_66","Agriculture",0,NA,NA,NA,NA,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","Agriculture",40701,697985,155228,0,9052,6
"13620_51_63_64_65_66_Urban","13620_51_63_64_65_66","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13620_51_63_64_65_66_Water","13620_51_63_64_65_66","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13620_51_63_64_65_66_UN","13620_51_63_64_65_66","UN",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13620_51_63_64_65_66_UE","13620_51_63_64_65_66","UE",0,NA,NA,NA,NA,"13620_51_63_64_65_66","Laurentian-Acadian Northern Pine(-Oak) Forest","UE",61382,697985,155228,0,13651,9
"13622_41_50_A","13622_41_50","A",17,"A","Early1:ALL","Early1","ALL","13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","A",3076,425471,94622,16086,684,1
"13622_41_50_B","13622_41_50","B",18,"B","Mid1:CLS","Mid1","CLS","13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","B",222828,425471,94622,17032,49556,52
"13622_41_50_C","13622_41_50","C",16,"C","Mid2:CLS","Mid2","CLS",NA,NA,NA,NA,0,0,0,NA,NA
"13622_41_50_D","13622_41_50","D",18,"D","Late1:CLS","Late1","CLS","13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","D",72068,425471,94622,17032,16028,17
"13622_41_50_E","13622_41_50","E",31,"E","Late2:CLS","Late2","CLS","13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","E",5081,425471,94622,29333,1130,1
"13622_41_50_Agriculture","13622_41_50","Agriculture",0,NA,NA,NA,NA,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Agriculture",30582,425471,94622,0,6801,7
"13622_41_50_Urban","13622_41_50","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13622_41_50_Water","13622_41_50","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13622_41_50_UN","13622_41_50","UN",0,NA,NA,NA,NA,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","UN",21608,425471,94622,0,4806,5
"13622_41_50_UE","13622_41_50","UE",0,NA,NA,NA,NA,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","UE",23711,425471,94622,0,5273,6
"13651_40_41_50_A","13651_40_41_50","A",12,"A","Early1:CLS","Early1","CLS","13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","A",153,1912451,425319,51038,34,0
"13651_40_41_50_B","13651_40_41_50","B",5,"B","Early2:CLS","Early2","CLS",NA,NA,NA,NA,0,0,0,NA,NA
