join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,cur_percent
14940_41_50_51_C,31,C,Late2:CLS,Late2,CLS,0
14940_41_50_51_D,5,D,Late3:CLS,Late3,CLS,66
14940_41_50_51_E,NA,NA,NA,NA,NA,NA
14940_41_50_51_Agriculture,0,NA,NA,NA,NA,1
14940_41_50_51_Urban,0,NA,NA,NA,NA,NA
14940_41_50_51_Water,0,NA,NA,NA,NA,NA
14940_41_50_51_UN,0,NA,NA,NA,NA,28
14940_41_50_51_UE,0,NA,NA,NA,NA,2
13022_41_50_51_Developed,NA,NA,NA,NA,NA,7
13023_51_Developed,NA,NA,NA,NA,NA,4
13100_44_50_Developed,NA,NA,NA,NA,NA,65
13110_50_Developed,NA,NA,NA,NA,NA,35
13441_51_Developed,NA,NA,NA,NA,NA,13
13442_51_Developed,NA,NA,NA,NA,NA,9
13620_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,13
13622_41_50_Developed,NA,NA,NA,NA,NA,11
13651_40_41_50_Developed,NA,NA,NA,NA,NA,0
13651_51_Developed,NA,NA,NA,NA,NA,8
13652_51_Developed,NA,NA,NA,NA,NA,9
13660_50_Developed,NA,NA,NA,NA,NA,0
13660_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,8
13940_50_51_Developed,NA,NA,NA,NA,NA,100
14071_41_50_51_Developed,NA,NA,NA,NA,NA,11
14072_41_50_51_Developed,NA,NA,NA,NA,NA,12
14120_39_40_41_42_43_50_51_Developed,NA,NA,NA,NA,NA,32
14210_31_38_42_43_44_50_51_Developed,NA,NA,NA,NA,NA,18
14440_41_50_51_Developed,NA,NA,NA,NA,NA,1
14660_50_51_Developed,NA,NA,NA,NA,NA,5
14750_41_50_51_63_64_65_66_Developed,NA,NA,NA,NA,NA,2
14770_40_41_50_51_Developed,NA,NA,NA,NA,NA,1
14810_41_50_51_63_Developed,NA,NA,NA,NA,NA,1
14920_41_50_51_52_63_Developed,NA,NA,NA,NA,NA,23
14940_41_50_51_Developed,NA,NA,NA,NA,NA,2
