"join_field","model_code","ref_label","ref_percent","scls_label","state_class_id","age_category","canopy_category","oid","value","cur_scls_count","lc16_bps_200_cup","lc20_s_cla_220","bps_model","bps_name","groupveg","label","bps_count","bps_acres","ref_scls_acres","cur_scls_acres","cur_percent"
"13022_41_50_51_UE","13022_41_50_51","UE",0,NA,NA,NA,NA,141,141,6128,1561,7,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UE",7468754,1661009.811453,0,1363,0
"13022_41_50_51_UE","13022_41_50_51","UE",0,NA,NA,NA,NA,166,166,6691,1562,7,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood","UE",7468754,1661009.811453,0,1488,0
"13023_51_A","13023_51","A",4,"A","Early1:ALL","Early1","ALL",127,127,4,1616,1,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","A",195553,43489.9116585,1740,1,0
"13023_51_B","13023_51","B",7,"B","Early2:ALL","Early2","ALL",80,80,3688,1616,2,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","B",195553,43489.9116585,3044,820,2
"13023_51_C","13023_51","C",16,"C","Mid1:CLS","Mid1","CLS",75,75,58228,1616,3,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","C",195553,43489.9116585,6958,12950,30
"13023_51_D","13023_51","D",69,"D","Late1:CLS","Late1","CLS",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13023_51_E","13023_51","E",4,"E","Mid2:CLS","Mid2","CLS",74,74,86921,1616,5,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","E",195553,43489.9116585,1740,19331,44
"13023_51_Agriculture","13023_51","Agriculture",0,NA,NA,NA,NA,86,86,12442,1616,180,"13023_51","Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood","Hardwood","Agriculture",195553,43489.9116585,0,2767,6
"13023_51_Urban","13023_51","Urban",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
"13023_51_Water","13023_51","Water",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
